Tree	Tree_taxa	RefTree_taxa	Common_taxa	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
486	64	64	64	491.0000	0.9871	0.6856
487	64	64	64	546.0000	1.0976	0.7624
488	64	64	64	506.0000	1.0172	0.7065
489	64	64	64	511.0000	1.0273	0.7135
490	64	64	64	559.0000	1.1238	0.7805
491	64	64	64	495.0000	0.9951	0.6912
492	64	64	64	554.0000	1.1137	0.7735
493	64	64	64	558.0000	1.1218	0.7791
494	64	64	64	546.0000	1.0976	0.7624
495	64	64	64	517.0000	1.0393	0.7219
496	64	64	64	543.0000	1.0916	0.7582
497	64	64	64	534.0000	1.0735	0.7456
498	64	64	64	506.0000	1.0172	0.7065
499	64	64	64	552.0000	1.1097	0.7707
500	64	64	64	561.0000	1.1278	0.7833
501	64	64	64	544.0000	1.0936	0.7596
502	64	64	64	548.0000	1.1017	0.7652
503	64	64	64	552.0000	1.1097	0.7707
504	64	64	64	550.0000	1.1057	0.7680
505	64	64	64	517.0000	1.0393	0.7219
506	64	64	64	553.0000	1.1117	0.7721
507	64	64	64	536.0000	1.0775	0.7484
508	64	64	64	550.0000	1.1057	0.7680
509	64	64	64	547.0000	1.0996	0.7638
510	64	64	64	506.0000	1.0172	0.7065
511	64	64	64	539.0000	1.0836	0.7526
512	64	64	64	572.0000	1.1499	0.7987
513	64	64	64	569.0000	1.1439	0.7945
514	64	64	64	543.0000	1.0916	0.7582
515	64	64	64	515.0000	1.0353	0.7191
516	64	64	64	554.0000	1.1137	0.7735
517	64	64	64	539.0000	1.0836	0.7526
518	64	64	64	533.0000	1.0715	0.7442
519	64	64	64	548.0000	1.1017	0.7652
520	64	64	64	548.0000	1.1017	0.7652
521	64	64	64	561.0000	1.1278	0.7833
522	64	64	64	571.0000	1.1479	0.7973
523	64	64	64	563.0000	1.1318	0.7861
524	64	64	64	547.0000	1.0996	0.7638
525	64	64	64	548.0000	1.1017	0.7652
526	64	64	64	563.0000	1.1318	0.7861
527	64	64	64	542.0000	1.0896	0.7568
528	64	64	64	580.0000	1.1660	0.8098
529	64	64	64	533.0000	1.0715	0.7442
530	64	64	64	506.0000	1.0172	0.7065
531	64	64	64	539.0000	1.0836	0.7526
532	64	64	64	580.0000	1.1660	0.8098
533	64	64	64	545.0000	1.0956	0.7610
534	64	64	64	558.0000	1.1218	0.7791
535	64	64	64	541.0000	1.0876	0.7554
536	64	64	64	531.0000	1.0675	0.7414
537	64	64	64	544.0000	1.0936	0.7596
538	64	64	64	505.0000	1.0152	0.7051
539	64	64	64	528.0000	1.0614	0.7372
540	64	64	64	557.0000	1.1197	0.7777
541	64	64	64	555.0000	1.1157	0.7749
542	64	64	64	559.0000	1.1238	0.7805
543	64	64	64	552.0000	1.1097	0.7707
544	64	64	64	560.0000	1.1258	0.7819
545	64	64	64	590.0000	1.1861	0.8238
546	64	64	64	546.0000	1.0976	0.7624
547	64	64	64	546.0000	1.0976	0.7624
548	64	64	64	526.0000	1.0574	0.7344
549	64	64	64	544.0000	1.0936	0.7596
550	64	64	64	538.0000	1.0816	0.7512
551	64	64	64	537.0000	1.0795	0.7498
552	64	64	64	574.0000	1.1539	0.8015
553	64	64	64	492.0000	0.9891	0.6870
554	64	64	64	544.0000	1.0936	0.7596
555	64	64	64	502.0000	1.0092	0.7009
556	64	64	64	560.0000	1.1258	0.7819
557	64	64	64	521.0000	1.0474	0.7275
558	64	64	64	532.0000	1.0695	0.7428
559	64	64	64	604.0000	1.2142	0.8434
560	64	64	64	553.0000	1.1117	0.7721
561	64	64	64	515.0000	1.0353	0.7191
562	64	64	64	513.0000	1.0313	0.7163
563	64	64	64	488.0000	0.9810	0.6814
564	64	64	64	503.0000	1.0112	0.7023
565	64	64	64	559.0000	1.1238	0.7805
566	64	64	64	518.0000	1.0413	0.7233
567	64	64	64	527.0000	1.0594	0.7358
568	64	64	64	490.0000	0.9851	0.6842
569	64	64	64	567.0000	1.1399	0.7917
570	64	64	64	515.0000	1.0353	0.7191
571	64	64	64	536.0000	1.0775	0.7484
572	64	64	64	592.0000	1.1901	0.8266
573	64	64	64	523.0000	1.0514	0.7303
574	64	64	64	469.0000	0.9428	0.6549
575	64	64	64	573.0000	1.1519	0.8001
576	64	64	64	536.0000	1.0775	0.7484
577	64	64	64	558.0000	1.1218	0.7791
578	64	64	64	554.0000	1.1137	0.7735
579	64	64	64	547.0000	1.0996	0.7638
580	64	64	64	559.0000	1.1238	0.7805
581	64	64	64	557.0000	1.1197	0.7777
582	64	64	64	494.0000	0.9931	0.6898
583	64	64	64	563.0000	1.1318	0.7861
584	64	64	64	543.0000	1.0916	0.7582
585	64	64	64	527.0000	1.0594	0.7358
586	64	64	64	570.0000	1.1459	0.7959
587	64	64	64	558.0000	1.1218	0.7791
588	64	64	64	534.0000	1.0735	0.7456
589	64	64	64	553.0000	1.1117	0.7721
